Team,Location,Against,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
TOR,Home,ORL,240,42,87,48.3,11,35,31.4,16,17,94.1,6,36,42,25,10,5,7,23,W
ORL,Away,TOR,240,30,81,37,9,34,26.5,13,24,54.2,12,33,45,17,2,4,17,18,L
TOR,Home,ORL,240,40,88,45.5,12,36,33.3,9,14,64.3,6,39,45,23,4,4,13,19,L
ORL,Away,TOR,240,36,90,40,14,29,48.3,18,20,90,10,38,48,19,9,4,11,19,W
TOR,Away,ORL,240,40,75,53.3,11,28,39.3,16,18,88.9,7,38,45,23,11,6,14,20,W
ORL,Home,TOR,240,29,80,36.3,13,44,29.5,22,23,95.7,7,35,42,19,8,5,16,17,L
TOR,Away,ORL,240,39,87,44.8,11,28,39.3,9,10,90,8,35,43,26,9,3,13,23,W
ORL,Home,TOR,240,34,81,42,7,33,21.2,10,13,76.9,7,27,34,20,7,2,17,19,L
TOR,Home,ORL,240,41,85,48.2,15,36,41.7,18,21,85.7,8,40,48,34,8,3,14,30,W
ORL,Away,TOR,240,32,83,38.6,9,34,26.5,23,31,74.2,12,36,48,20,7,5,17,21,L
